"Year","Cruise","Season","Line","Station","SpeciesName","presence","effort"
2004,"CC0404","Spring",83,60,"Humpback whale",1,3
2004,"CC0411","Fall",83,60,"Blue whale",5,5
2004,"CC0411","Fall",83,60,"Fin whale",5,5
2005,"CC0501","Winter",83,60,"Blue whale",3,3
2005,"CC0501","Winter",83,60,"Humpback whale",3,3
2005,"CC0501","Winter",83,60,"Fin whale",1,3
2005,"CC0507","Summer",83,60,"Humpback whale",4,4
2005,"CC0511","Fall",83,60,"Blue whale",1,3
2005,"CC0511","Fall",83,60,"Fin whale",1,3
2006,"CC0602","Winter",83,60,"Humpback whale",1,3
2006,"CC0611","Fall",83,60,"Fin whale",4,4
2008,"CC0808","Summer",83,60,"Blue whale",4,4
2008,"CC0808","Summer",83,60,"Fin whale",4,4
2009,"CC0903","Spring",83,60,"Humpback whale",1,3
2009,"CC0911","Fall",83,60,"Fin whale",1,3
2009,"CC0911","Fall",83,60,"Humpback whale",1,3
2010,"CC1001","Winter",83,60,"Humpback whale",4,4
2010,"CC1001","Winter",83,60,"Fin whale",3,4
2010,"CC1008","Summer",83,60,"Fin whale",2,5
2010,"CC1008","Summer",83,60,"Blue whale",1,5
2010,"CC1008","Summer",83,60,"Humpback whale",1,5
2011,"CC1104","Spring",83,60,"Humpback whale",3,4
2011,"CC1110","Fall",83,60,"Blue whale",3,5
2011,"CC1110","Fall",83,60,"Fin whale",5,5
2012,"CC1210","Fall",83,60,"Fin whale",3,3
2012,"CC1210","Fall",83,60,"Blue whale",2,3
2004,"CC0407","Summer",83,80,"Blue whale",3,4
2007,"CC0704","Spring",83,80,"Humpback whale",2,3
2008,"CC0801","Winter",83,80,"Fin whale",3,3
2008,"CC0801","Winter",83,80,"Humpback whale",3,3
2008,"CC0808","Summer",83,80,"Blue whale",3,3
2009,"CC0901","Winter",83,80,"Humpback whale",3,4
2009,"CC0901","Winter",83,80,"Fin whale",1,4
2011,"CC1101","Winter",83,80,"Humpback whale",3,3
2012,"CC1210","Fall",83,80,"Humpback whale",2,4
2004,"CC0404","Spring",83,90,"Humpback whale",2,3
2004,"CC0411","Fall",83,90,"Fin whale",1,5
2006,"CC0604","Spring",83,90,"Humpback whale",3,4
2006,"CC0607","Summer",83,90,"Blue whale",1,3
2008,"CC0808","Summer",83,90,"Blue whale",3,3
2008,"CC0808","Summer",83,90,"Fin whale",1,3
2009,"CC0901","Winter",83,90,"Humpback whale",2,3
2009,"CC0901","Winter",83,90,"Fin whale",1,3
2010,"CC1001","Winter",83,90,"Fin whale",4,6
2010,"CC1001","Winter",83,90,"Humpback whale",4,6
2010,"CC1008","Summer",83,90,"Fin whale",1,4
2011,"CC1104","Spring",83,90,"Humpback whale",2,3
2012,"CC1202","Winter",83,90,"Humpback whale",4,5
2004,"CC0411","Fall",83,55,"Fin whale",5,5
2006,"CC0607","Summer",83,55,"Blue whale",1,2
2006,"CC0611","Fall",83,55,"Blue whale",1,3
2007,"CC0707","Summer",83,55,"Blue whale",1,3
2007,"CC0707","Summer",83,55,"Fin whale",1,3
2008,"CC0803","Spring",83,55,"Fin whale",3,3
2008,"CC0803","Spring",83,55,"Humpback whale",2,3
2009,"CC0901","Winter",83,55,"Humpback whale",2,4
2009,"CC0901","Winter",83,55,"Fin whale",1,4
2010,"CC1001","Winter",83,55,"Fin whale",3,3
2010,"CC1001","Winter",83,55,"Blue whale",1,3
2010,"CC1001","Winter",83,55,"Humpback whale",1,3
2010,"CC1008","Summer",83,55,"Fin whale",3,5
2010,"CC1008","Summer",83,55,"Blue whale",2,5
2011,"CC1101","Winter",83,55,"Humpback whale",2,4
2005,"CC0501","Winter",83,70,"Humpback whale",2,3
2005,"CC0504","Spring",83,70,"Blue whale",1,4
2005,"CC0507","Summer",83,70,"Blue whale",2,3
2005,"CC0507","Summer",83,70,"Fin whale",1,3
2005,"CC0511","Fall",83,70,"Fin whale",3,3
2005,"CC0511","Fall",83,70,"Blue whale",1,3
2007,"CC0704","Spring",83,70,"Humpback whale",3,4
2007,"CC0711","Fall",83,70,"Blue whale",1,3
2007,"CC0711","Fall",83,70,"Fin whale",3,3
2008,"CC0801","Winter",83,70,"Humpback whale",1,3
2008,"CC0810","Fall",83,70,"Fin whale",2,3
2009,"CC0903","Spring",83,70,"Humpback whale",1,4
2009,"CC0907","Summer",83,70,"Humpback whale",1,2
2011,"CC1104","Spring",83,70,"Fin whale",1,4
2011,"CC1104","Spring",83,70,"Humpback whale",3,4
2011,"CC1110","Fall",83,70,"Fin whale",3,4
2011,"CC1110","Fall",83,70,"Blue whale",1,4
2012,"CC1203","Spring",83,70,"Humpback whale",2,3
2012,"CC1203","Spring",83,70,"Fin whale",1,3
2005,"CC0501","Winter",83,110,"Blue whale",2,3
2005,"CC0501","Winter",83,110,"Humpback whale",3,3
2005,"CC0507","Summer",83,110,"Blue whale",1,4
2007,"CC0707","Summer",83,110,"Blue whale",1,3
2008,"CC0801","Winter",83,110,"Humpback whale",1,3
2008,"CC0803","Spring",83,110,"Humpback whale",3,4
2011,"CC1104","Spring",83,110,"Humpback whale",3,4
2011,"CC1110","Fall",83,110,"Fin whale",3,7
2011,"CC1110","Fall",83,110,"Humpback whale",1,7
2012,"CC1207","Summer",83,110,"Blue whale",1,6
2009,"CC0907","Summer",83,40,"Humpback whale",1,2
2006,"CC0607","Summer",83,51,"Blue whale",1,2
2008,"CC0803","Spring",83,51,"Humpback whale",2,3
2008,"CC0808","Summer",83,51,"Blue whale",3,4
2008,"CC0808","Summer",83,51,"Fin whale",3,4
2010,"CC1008","Summer",83,51,"Fin whale",1,6
2012,"CC1207","Summer",83,51,"Blue whale",1,4
2012,"CC1207","Summer",83,51,"Fin whale",1,4
2005,"CC0501","Winter",83,100,"Humpback whale",3,3
2006,"CC0602","Winter",83,100,"Humpback whale",1,3
2007,"CC0711","Fall",83,100,"Blue whale",3,3
2009,"CC0903","Spring",83,100,"Humpback whale",3,4
2010,"CC1001","Winter",83,100,"Fin whale",1,3
2010,"CC1001","Winter",83,100,"Humpback whale",3,3
2011,"CC1104","Spring",83,100,"Humpback whale",3,4
2012,"CC1202","Winter",83,100,"Humpback whale",4,7
2005,"CC0501","Winter",83,42,"Humpback whale",1,2
2005,"CC0501","Winter",83,42,"Blue whale",1,2
2005,"CC0501","Winter",83,42,"Fin whale",1,2
2005,"CC0504","Spring",83,42,"Blue whale",3,4
2005,"CC0507","Summer",83,42,"Blue whale",2,3
2007,"CC0711","Fall",83,42,"Blue whale",2,2
2008,"CC0810","Fall",83,39,"Humpback whale",1,2
2009,"CC0903","Spring",83,41,"Humpback whale",1,3
2004,"CC0411","Fall",80,60,"Fin whale",4,4
2004,"CC0411","Fall",80,60,"Blue whale",3,4
2005,"CC0511","Fall",80,60,"Blue whale",2,4
2005,"CC0511","Fall",80,60,"Fin whale",1,4
2007,"CC0711","Fall",80,60,"Blue whale",1,3
2007,"CC0711","Fall",80,60,"Fin whale",3,3
2008,"CC0810","Fall",80,60,"Blue whale",2,2
2008,"CC0810","Fall",80,60,"Fin whale",1,2
2012,"CC1203","Spring",80,60,"Humpback whale",3,3
2012,"CC1203","Spring",80,60,"Fin whale",2,3
2004,"CC0404","Spring",80,80,"Humpback whale",2,3
2005,"CC0501","Winter",80,80,"Humpback whale",3,3
2005,"CC0501","Winter",80,80,"Fin whale",1,3
2005,"CC0501","Winter",80,80,"Blue whale",1,3
2006,"CC0604","Spring",80,80,"Humpback whale",3,4
2007,"CC0704","Spring",80,80,"Blue whale",1,4
2007,"CC0704","Spring",80,80,"Humpback whale",3,4
2008,"CC0808","Summer",80,80,"Blue whale",2,3
2008,"CC0808","Summer",80,80,"Fin whale",3,3
2010,"CC1008","Summer",80,80,"Fin whale",3,3
2012,"CC1202","Winter",80,80,"Fin whale",4,6
2012,"CC1202","Winter",80,80,"Humpback whale",4,6
2012,"CC1203","Spring",80,80,"Humpback whale",3,3
2012,"CC1203","Spring",80,80,"Fin whale",2,3
2012,"CC1207","Summer",80,80,"Fin whale",3,6
2012,"CC1207","Summer",80,80,"Blue whale",1,6
2004,"CC0411","Fall",80,90,"Blue whale",2,5
2004,"CC0411","Fall",80,90,"Fin whale",4,5
2005,"CC0504","Spring",80,90,"Blue whale",2,4
2005,"CC0504","Spring",80,90,"Humpback whale",2,4
2007,"CC0707","Summer",80,90,"Fin whale",1,3
2007,"CC0707","Summer",80,90,"Blue whale",2,3
2007,"CC0711","Fall",80,90,"Blue whale",3,3
2007,"CC0711","Fall",80,90,"Fin whale",3,3
2008,"CC0801","Winter",80,90,"Humpback whale",3,3
2008,"CC0808","Summer",80,90,"Blue whale",3,4
2008,"CC0808","Summer",80,90,"Fin whale",1,4
2009,"CC0907","Summer",80,90,"Humpback whale",1,2
2010,"CC1008","Summer",80,90,"Fin whale",1,4
2011,"CC1101","Winter",80,90,"Humpback whale",5,6
2011,"CC1101","Winter",80,90,"Fin whale",3,6
2011,"CC1104","Spring",80,90,"Humpback whale",3,3
2012,"CC1202","Winter",80,90,"Humpback whale",4,4
2012,"CC1203","Spring",80,90,"Blue whale",3,3
2012,"CC1203","Spring",80,90,"Humpback whale",3,3
2012,"CC1207","Summer",80,90,"Blue whale",1,4
2004,"CC0407","Summer",80,55,"Blue whale",3,3
2005,"CC0504","Spring",80,55,"Blue whale",1,4
2005,"CC0504","Spring",80,55,"Humpback whale",4,4
2005,"CC0504","Spring",80,55,"Fin whale",1,4
2006,"CC0607","Summer",80,55,"Blue whale",3,3
2006,"CC0607","Summer",80,55,"Humpback whale",1,3
2007,"CC0707","Summer",80,55,"Fin whale",3,4
2007,"CC0707","Summer",80,55,"Blue whale",1,4
2007,"CC0711","Fall",80,55,"Blue whale",2,3
2007,"CC0711","Fall",80,55,"Fin whale",3,3
2008,"CC0801","Winter",80,55,"Humpback whale",2,4
2008,"CC0801","Winter",80,55,"Fin whale",1,4
2010,"CC1008","Summer",80,55,"Blue whale",3,5
2010,"CC1008","Summer",80,55,"Fin whale",3,5
2010,"CC1008","Summer",80,55,"Humpback whale",1,5
2012,"CC1203","Spring",80,55,"Humpback whale",2,3
2012,"CC1207","Summer",80,55,"Blue whale",1,4
2004,"CC0411","Fall",80,70,"Fin whale",3,4
2004,"CC0411","Fall",80,70,"Blue whale",2,4
2005,"CC0501","Winter",80,70,"Fin whale",3,3
2005,"CC0501","Winter",80,70,"Humpback whale",3,3
2005,"CC0504","Spring",80,70,"Humpback whale",1,4
2005,"CC0511","Fall",80,70,"Blue whale",1,2
2005,"CC0511","Fall",80,70,"Fin whale",1,2
2006,"CC0602","Winter",80,70,"Humpback whale",1,3
2006,"CC0604","Spring",80,70,"Humpback whale",3,5
2008,"CC0810","Fall",80,70,"Blue whale",1,2
2008,"CC0810","Fall",80,70,"Fin whale",1,2
2009,"CC0901","Winter",80,70,"Humpback whale",3,3
2009,"CC0901","Winter",80,70,"Fin whale",1,3
2009,"CC0907","Summer",80,70,"Humpback whale",1,2
2010,"CC1001","Winter",80,70,"Fin whale",3,5
2010,"CC1001","Winter",80,70,"Humpback whale",5,5
2010,"CC1011","Fall",80,70,"Fin whale",2,5
2011,"CC1108","Summer",80,70,"Fin whale",2,5
2011,"CC1110","Fall",80,70,"Fin whale",4,5
2011,"CC1110","Fall",80,70,"Humpback whale",3,5
2012,"CC1210","Fall",80,70,"Humpback whale",2,4
2004,"CC0411","Fall",80,51,"Humpback whale",1,3
2006,"CC0604","Spring",80,51,"Humpback whale",1,3
2007,"CC0704","Spring",80,51,"Humpback whale",1,3
2008,"CC0808","Summer",80,51,"Blue whale",2,2
2009,"CC0901","Winter",80,51,"Humpback whale",2,5
2010,"CC1008","Summer",80,51,"Fin whale",1,6
2010,"CC1008","Summer",80,51,"Blue whale",2,6
2012,"CC1203","Spring",80,51,"Fin whale",2,3
2004,"CC0411","Fall",80,100,"Fin whale",2,4
2005,"CC0507","Summer",80,100,"Fin whale",1,3
2005,"CC0507","Summer",80,100,"Blue whale",1,3
2005,"CC0511","Fall",80,100,"Fin whale",1,4
2006,"CC0602","Winter",80,100,"Fin whale",2,4
2006,"CC0602","Winter",80,100,"Humpback whale",1,4
2008,"CC0810","Fall",80,100,"Blue whale",1,4
2008,"CC0810","Fall",80,100,"Fin whale",1,4
2009,"CC0907","Summer",80,100,"Humpback whale",1,2
2010,"CC1001","Winter",80,100,"Fin whale",4,4
2010,"CC1001","Winter",80,100,"Humpback whale",4,4
2011,"CC1104","Spring",80,100,"Humpback whale",3,4
2011,"CC1108","Summer",80,100,"Fin whale",1,4
2011,"CC1110","Fall",80,100,"Humpback whale",3,3
2012,"CC1210","Fall",80,100,"Blue whale",1,3
2012,"CC1210","Fall",80,100,"Humpback whale",3,3
2007,"CC0701","Winter",93,60,"Fin whale",3,3
2007,"CC0701","Winter",93,60,"Humpback whale",3,3
2007,"CC0711","Fall",93,60,"Blue whale",1,3
2010,"CC1001","Winter",93,60,"Humpback whale",2,3
2010,"CC1001","Winter",93,60,"Fin whale",2,3
2004,"CC0404","Spring",93,80,"Fin whale",1,5
2005,"CC0501","Winter",93,80,"Humpback whale",3,3
2005,"CC0507","Summer",93,80,"Blue whale",3,3
2005,"CC0507","Summer",93,80,"Fin whale",1,3
2005,"CC0511","Fall",93,80,"Blue whale",3,3
2006,"CC0604","Spring",93,80,"Humpback whale",4,4
2006,"CC0604","Spring",93,80,"Fin whale",1,4
2006,"CC0611","Fall",93,80,"Fin whale",1,3
2007,"CC0704","Spring",93,80,"Humpback whale",2,3
2007,"CC0704","Spring",93,80,"Fin whale",1,3
2007,"CC0707","Summer",93,80,"Blue whale",2,3
2008,"CC0808","Summer",93,80,"Blue whale",3,4
2008,"CC0808","Summer",93,80,"Fin whale",1,4
2009,"CC0911","Fall",93,80,"Humpback whale",1,3
2010,"CC1008","Summer",93,80,"Fin whale",2,3
2010,"CC1011","Fall",93,80,"Blue whale",2,2
2010,"CC1011","Fall",93,80,"Fin whale",1,2
2011,"CC1104","Spring",93,80,"Humpback whale",1,3
2005,"CC0501","Winter",93,90,"Humpback whale",4,4
2005,"CC0504","Spring",93,90,"Humpback whale",3,4
2005,"CC0507","Summer",93,90,"Blue whale",2,3
2007,"CC0707","Summer",93,90,"Blue whale",3,4
2007,"CC0711","Fall",93,90,"Blue whale",1,3
2008,"CC0803","Spring",93,90,"Humpback whale",1,5
2008,"CC0810","Fall",93,90,"Fin whale",2,4
2011,"CC1104","Spring",93,90,"Fin whale",1,2
2011,"CC1104","Spring",93,90,"Humpback whale",1,2
2004,"CC0407","Summer",93,45,"Blue whale",4,4
2005,"CC0501","Winter",93,45,"Fin whale",2,3
2005,"CC0501","Winter",93,45,"Blue whale",1,3
2006,"CC0607","Summer",93,45,"Blue whale",3,3
2006,"CC0611","Fall",93,45,"Blue whale",2,2
2006,"CC0611","Fall",93,45,"Fin whale",2,2
2007,"CC0707","Summer",93,45,"Fin whale",4,4
2008,"CC0801","Winter",93,45,"Fin whale",2,2
2008,"CC0808","Summer",93,45,"Blue whale",2,2
2008,"CC0808","Summer",93,45,"Fin whale",2,2
2009,"CC0907","Summer",93,45,"Humpback whale",1,3
2009,"CC0911","Fall",93,45,"Blue whale",1,3
2009,"CC0911","Fall",93,45,"Fin whale",1,3
2010,"CC1008","Summer",93,45,"Blue whale",3,3
2010,"CC1008","Summer",93,45,"Fin whale",3,3
2011,"CC1104","Spring",93,45,"Humpback whale",2,2
2011,"CC1104","Spring",93,45,"Fin whale",1,2
2011,"CC1110","Fall",93,45,"Blue whale",3,4
2011,"CC1110","Fall",93,45,"Fin whale",3,4
2012,"CC1202","Winter",93,45,"Fin whale",3,4
2012,"CC1203","Spring",93,45,"Humpback whale",2,2
2005,"CC0501","Winter",93,55,"Fin whale",3,3
2005,"CC0501","Winter",93,55,"Blue whale",2,3
2005,"CC0504","Spring",93,55,"Fin whale",1,2
2005,"CC0504","Spring",93,55,"Humpback whale",2,2
2005,"CC0507","Summer",93,55,"Blue whale",3,4
2007,"CC0707","Summer",93,55,"Blue whale",3,3
2007,"CC0707","Summer",93,55,"Fin whale",3,3
2007,"CC0711","Fall",93,55,"Fin whale",3,3
2007,"CC0711","Fall",93,55,"Blue whale",1,3
2004,"CC0407","Summer",93,70,"Blue whale",3,3
2004,"CC0411","Fall",93,70,"Blue whale",5,5
2004,"CC0411","Fall",93,70,"Fin whale",2,5
2004,"CC0411","Fall",93,70,"Humpback whale",1,5
2005,"CC0511","Fall",93,70,"Blue whale",3,3
2005,"CC0511","Fall",93,70,"Fin whale",3,3
2006,"CC0604","Spring",93,70,"Humpback whale",2,3
2007,"CC0701","Winter",93,70,"Fin whale",3,3
2007,"CC0701","Winter",93,70,"Humpback whale",3,3
2007,"CC0704","Spring",93,70,"Humpback whale",3,3
2008,"CC0801","Winter",93,70,"Fin whale",3,3
2008,"CC0801","Winter",93,70,"Humpback whale",1,3
2008,"CC0808","Summer",93,70,"Blue whale",3,3
2008,"CC0808","Summer",93,70,"Fin whale",1,3
2009,"CC0901","Winter",93,70,"Fin whale",3,3
2009,"CC0901","Winter",93,70,"Humpback whale",3,3
2009,"CC0903","Spring",93,70,"Fin whale",2,4
2009,"CC0907","Summer",93,70,"Humpback whale",1,2
2010,"CC1001","Winter",93,70,"Fin whale",2,5
2010,"CC1001","Winter",93,70,"Humpback whale",3,5
2010,"CC1011","Fall",93,70,"Blue whale",2,4
2010,"CC1011","Fall",93,70,"Fin whale",2,4
2012,"CC1202","Winter",93,70,"Fin whale",2,3
2012,"CC1202","Winter",93,70,"Humpback whale",2,3
2012,"CC1203","Spring",93,70,"Humpback whale",2,2
2012,"CC1207","Summer",93,70,"Blue whale",1,4
2004,"CC0407","Summer",93,110,"Blue whale",2,4
2004,"CC0411","Fall",93,110,"Blue whale",1,4
2005,"CC0504","Spring",93,110,"Humpback whale",3,3
2006,"CC0604","Spring",93,110,"Humpback whale",2,3
2007,"CC0704","Spring",93,110,"Humpback whale",1,4
2008,"CC0801","Winter",93,110,"Humpback whale",3,4
2009,"CC0901","Winter",93,110,"Humpback whale",3,3
2009,"CC0901","Winter",93,110,"Fin whale",1,3
2009,"CC0903","Spring",93,110,"Humpback whale",3,3
2010,"CC1001","Winter",93,110,"Humpback whale",4,5
2010,"CC1001","Winter",93,110,"Fin whale",1,5
2010,"CC1011","Fall",93,110,"Blue whale",1,4
2010,"CC1011","Fall",93,110,"Fin whale",1,4
2011,"CC1104","Spring",93,110,"Humpback whale",1,3
2012,"CC1203","Spring",93,110,"Fin whale",3,3
2012,"CC1203","Spring",93,110,"Humpback whale",3,3
2012,"CC1203","Spring",93,110,"Blue whale",1,3
2005,"CC0501","Winter",93,28,"Blue whale",1,4
2005,"CC0501","Winter",93,28,"Fin whale",1,4
2005,"CC0507","Summer",93,28,"Blue whale",1,4
2006,"CC0607","Summer",93,28,"Blue whale",2,2
2011,"CC1108","Summer",93,28,"Blue whale",1,2
2007,"CC0704","Spring",93,30,"Fin whale",2,4
2007,"CC0711","Fall",93,30,"Blue whale",4,4
2007,"CC0711","Fall",93,30,"Fin whale",4,4
2010,"CC1001","Winter",93,30,"Fin whale",1,3
2007,"CC0704","Spring",93,35,"Blue whale",2,3
2007,"CC0704","Spring",93,35,"Fin whale",2,3
2007,"CC0711","Fall",93,35,"Blue whale",3,4
2007,"CC0711","Fall",93,35,"Fin whale",3,4
2007,"CC0711","Fall",93,35,"Humpback whale",1,4
2009,"CC0901","Winter",93,35,"Fin whale",1,3
2010,"CC1001","Winter",93,35,"Fin whale",2,2
2011,"CC1110","Fall",93,35,"Fin whale",2,3
2006,"CC0607","Summer",93,40,"Blue whale",3,3
2007,"CC0701","Winter",93,40,"Fin whale",3,3
2007,"CC0701","Winter",93,40,"Blue whale",1,3
2007,"CC0704","Spring",93,40,"Blue whale",2,4
2007,"CC0704","Spring",93,40,"Fin whale",3,4
2008,"CC0808","Summer",93,40,"Blue whale",3,3
2008,"CC0808","Summer",93,40,"Fin whale",3,3
2009,"CC0901","Winter",93,40,"Fin whale",3,3
2009,"CC0903","Spring",93,40,"Fin whale",2,2
2009,"CC0911","Fall",93,40,"Fin whale",1,3
2011,"CC1104","Spring",93,40,"Fin whale",3,3
2011,"CC1110","Fall",93,40,"Fin whale",3,3
2011,"CC1110","Fall",93,40,"Humpback whale",1,3
2011,"CC1110","Fall",93,40,"Blue whale",1,3
2012,"CC1202","Winter",93,40,"Fin whale",3,3
2012,"CC1203","Spring",93,40,"Fin whale",1,1
2012,"CC1203","Spring",93,40,"Humpback whale",1,1
2012,"CC1207","Summer",93,40,"Blue whale",1,3
2012,"CC1207","Summer",93,40,"Fin whale",1,3
2004,"CC0411","Fall",93,50,"Blue whale",2,4
2005,"CC0501","Winter",93,50,"Fin whale",2,2
2005,"CC0504","Spring",93,50,"Blue whale",3,3
2005,"CC0504","Spring",93,50,"Fin whale",1,3
2005,"CC0504","Spring",93,50,"Humpback whale",2,3
2005,"CC0507","Summer",93,50,"Blue whale",4,4
2005,"CC0511","Fall",93,50,"Blue whale",2,2
2005,"CC0511","Fall",93,50,"Fin whale",2,2
2006,"CC0604","Spring",93,50,"Fin whale",3,3
2006,"CC0604","Spring",93,50,"Humpback whale",2,3
2006,"CC0607","Summer",93,50,"Blue whale",3,3
2006,"CC0611","Fall",93,50,"Blue whale",3,3
2006,"CC0611","Fall",93,50,"Fin whale",3,3
2007,"CC0707","Summer",93,50,"Blue whale",2,3
2007,"CC0707","Summer",93,50,"Fin whale",2,3
2008,"CC0808","Summer",93,50,"Blue whale",3,3
2008,"CC0808","Summer",93,50,"Fin whale",3,3
2008,"CC0810","Fall",93,50,"Humpback whale",2,3
2010,"CC1008","Summer",93,50,"Blue whale",2,5
2010,"CC1008","Summer",93,50,"Fin whale",4,5
2010,"CC1008","Summer",93,50,"Humpback whale",2,5
2010,"CC1011","Fall",93,50,"Blue whale",4,4
2010,"CC1011","Fall",93,50,"Fin whale",4,4
2011,"CC1104","Spring",93,50,"Fin whale",2,2
2011,"CC1104","Spring",93,50,"Humpback whale",1,2
2011,"CC1108","Summer",93,50,"Blue whale",1,6
2004,"CC0411","Fall",93,100,"Blue whale",2,4
2007,"CC0701","Winter",93,100,"Humpback whale",4,4
2007,"CC0701","Winter",93,100,"Fin whale",3,4
2007,"CC0711","Fall",93,100,"Blue whale",1,3
2007,"CC0711","Fall",93,100,"Fin whale",2,3
2008,"CC0803","Spring",93,100,"Humpback whale",1,3
2009,"CC0903","Spring",93,100,"Blue whale",1,3
2009,"CC0903","Spring",93,100,"Humpback whale",2,3
2010,"CC1001","Winter",93,100,"Humpback whale",3,3
2010,"CC1001","Winter",93,100,"Fin whale",1,3
2005,"CC0501","Winter",93,120,"Blue whale",2,4
2005,"CC0501","Winter",93,120,"Humpback whale",4,4
2005,"CC0504","Spring",93,120,"Humpback whale",4,4
2005,"CC0504","Spring",93,120,"Blue whale",1,4
2005,"CC0507","Summer",93,120,"Blue whale",1,3
2006,"CC0607","Summer",93,120,"Blue whale",2,3
2007,"CC0704","Spring",93,120,"Fin whale",1,2
2007,"CC0707","Summer",93,120,"Fin whale",2,3
2008,"CC0803","Spring",93,120,"Humpback whale",1,2
2010,"CC1011","Fall",93,120,"Humpback whale",2,5
2011,"CC1104","Spring",93,120,"Humpback whale",1,3
2012,"CC1203","Spring",93,120,"Humpback whale",3,3
2011,"CC1108","Summer",93,26,"Blue whale",2,3
2011,"CC1108","Summer",93,26,"Fin whale",1,3
2004,"CC0411","Fall",87,60,"Fin whale",2,4
2005,"CC0504","Spring",87,60,"Humpback whale",2,4
2006,"CC0611","Fall",87,60,"Blue whale",1,3
2006,"CC0611","Fall",87,60,"Fin whale",1,3
2007,"CC0711","Fall",87,60,"Blue whale",1,3
2007,"CC0711","Fall",87,60,"Fin whale",1,3
2009,"CC0901","Winter",87,60,"Fin whale",1,3
2009,"CC0901","Winter",87,60,"Humpback whale",2,3
2010,"CC1001","Winter",87,60,"Fin whale",3,4
2010,"CC1001","Winter",87,60,"Humpback whale",3,4
2011,"CC1104","Spring",87,60,"Fin whale",2,2
2011,"CC1104","Spring",87,60,"Humpback whale",2,2
2011,"CC1110","Fall",87,60,"Fin whale",2,2
2012,"CC1202","Winter",87,60,"Humpback whale",4,6
2004,"CC0407","Summer",87,80,"Blue whale",1,4
2005,"CC0501","Winter",87,80,"Humpback whale",3,3
2005,"CC0501","Winter",87,80,"Blue whale",1,3
2005,"CC0504","Spring",87,80,"Humpback whale",1,4
2005,"CC0504","Spring",87,80,"Fin whale",1,4
2005,"CC0507","Summer",87,80,"Blue whale",3,3
2005,"CC0507","Summer",87,80,"Fin whale",1,3
2008,"CC0801","Winter",87,80,"Humpback whale",3,3
2008,"CC0803","Spring",87,80,"Humpback whale",3,3
2011,"CC1104","Spring",87,80,"Humpback whale",3,3
2012,"CC1210","Fall",87,80,"Blue whale",1,3
2005,"CC0501","Winter",87,90,"Humpback whale",2,4
2005,"CC0507","Summer",87,90,"Blue whale",3,3
2006,"CC0602","Winter",87,90,"Humpback whale",3,3
2006,"CC0604","Spring",87,90,"Humpback whale",2,3
2006,"CC0611","Fall",87,90,"Blue whale",1,3
2006,"CC0611","Fall",87,90,"Fin whale",2,3
2009,"CC0903","Spring",87,90,"Humpback whale",3,3
2010,"CC1001","Winter",87,90,"Fin whale",4,4
2010,"CC1001","Winter",87,90,"Humpback whale",4,4
2011,"CC1104","Spring",87,90,"Humpback whale",3,3
2011,"CC1110","Fall",87,90,"Blue whale",2,4
2011,"CC1110","Fall",87,90,"Fin whale",3,4
